Sample_Name,BioSample,BioProject,Other_Name,Other_ID,Dataset,City/Location,Country,Continent,Location_Descriptor,Material,Latitude,Longitude,Lat-Long,Depth [IN M],Date_Collected,cb-broad-desc,cb-narrow-desc,cb-material-type,sra:env_broad_scale,sra:env_local_scale,sra:env_medium
SRR28911000,PRJNA732392,SAMN41165275,haib17CEM5241_HMGMHCCXY_SL343374,,metasub,,Singapore,Asia,,,,,1.432157 N 103.773752 E,,6/21/17,built environment,subway,surface,,,
SRR28911354,PRJNA732392,SAMN41165083,haib17CEM5241_HMGMHCCXY_SL343375,,metasub,,Singapore,Asia,,,,,1.432157 N 103.773752 E,,6/21/17,built environment,subway,surface,,,
SRR28911209,PRJNA732392,SAMN41164524,haib17CEM5241_HMGMHCCXY_SL343376,,metasub,,Singapore,Asia,,,,,1.384938 N 103.744306 E,,6/21/17,built environment,subway,surface,,,
SRR28910810,PRJNA732392,SAMN41165143,haib17CEM5241_HMGMHCCXY_SL343377,,metasub,,Singapore,Asia,,,,,1.384954 N 103.744289 E,,6/21/17,built environment,subway,surface,,,
SRR28911034,PRJNA732392,SAMN41165179,haib17CEM5241_HMGMHCCXY_SL343378,,metasub,,Singapore,Asia,,,,,1.386107 N 103.744273 E,,6/21/17,built environment,subway,surface,,,
SRR28910761,PRJNA732392,SAMN41164498,haib17CEM5241_HMGMHCCXY_SL343379,,metasub,,Singapore,Asia,,,,,1.386128 N 103.744284 E,,6/21/17,built environment,subway,surface,,,
SRR28911477,PRJNA732392,SAMN41164647,haib17CEM5241_HMGMHCCXY_SL343380,,metasub,,Singapore,Asia,,,,,1.384285 N 103.744644 E,,6/21/17,built environment,subway,surface,,,
SRR28911093,PRJNA732392,SAMN41164931,haib17CEM5241_HMGMHCCXY_SL343381,,metasub,,Singapore,Asia,,,,,1.38429 N 103.744644 E,,6/21/17,built environment,subway,surface,,,
SRR28911527,PRJNA732392,SAMN41165203,haib17CEM5241_HMGMHCCXY_SL343382,,metasub,,Singapore,Asia,,,,,1.384317 N 103.744745 E,,6/21/17,built environment,subway,surface,,,
SRR28911142,PRJNA732392,SAMN41164757,haib17CEM5241_HMGMHCCXY_SL343383,,metasub,,Singapore,Asia,,,,,1.384322 N 103.744745 E,,6/21/17,built environment,subway,surface,,,
SRR28911017,PRJNA732392,SAMN41165195,haib17CEM5241_HMGMHCCXY_SL343384,,metasub,,Singapore,Asia,,,,,1.384285 N 103.744654 E,,6/21/17,built environment,subway,surface,,,
SRR28911304,PRJNA732392,SAMN41165257,haib17CEM5241_HMGMHCCXY_SL343385,,metasub,,Singapore,Asia,,,,,1.384301 N 103.744654 E,,6/21/17,built environment,subway,surface,,,
SRR28910734,PRJNA732392,SAMN41164563,haib17CEM5241_HMGMHCCXY_SL343386,,metasub,,Singapore,Asia,,,,,1.384295 N 103.744638 E,,6/21/17,built environment,subway,surface,,,
SRR28911461,PRJNA732392,SAMN41164439,haib17CEM5241_HMGMHCCXY_SL343387,,metasub,,Singapore,Asia,,,,,1.384306 N 103.744649 E,,6/21/17,built environment,subway,surface,,,
SRR28911201,PRJNA732392,SAMN41164575,haib17CEM5241_HMGMHCCXY_SL343388,,metasub,,Singapore,Asia,,,,,1.354435 N 103.960375 E,,6/21/17,built environment,subway,surface,,,
SRR28910805,PRJNA732392,SAMN41165147,haib17CEM5241_HMGMHCCXY_SL343389,,metasub,,Singapore,Asia,,,,,1.355811 N 103.961042 E,,6/21/17,built environment,subway,surface,,,
SRR28911181,PRJNA732392,SAMN41164657,haib17CEM5241_HMGMHCCXY_SL343390,,metasub,,Singapore,Asia,,,,,1.35438 N 103.960321 E,,6/21/17,built environment,subway,surface,,,
SRR28911523,PRJNA732392,SAMN41164415,haib17CEM5241_HMGMHCCXY_SL343391,,metasub,,Singapore,Asia,,,,,1.384423 N 103.745196 E,,6/21/17,built environment,subway,surface,,,
SRR28911058,PRJNA732392,SAMN41165093,haib17CEM5241_HMGMHCCXY_SL343392,,metasub,,Singapore,Asia,,,,,1.384417 N 103.745185 E,,6/21/17,built environment,subway,surface,,,
SRR28911005,PRJNA732392,SAMN41165270,haib17CEM5241_HMGMHCCXY_SL343393,,metasub,,Singapore,Asia,,,,,1.384305 N 103.744526 E,,6/21/17,built environment,subway,surface,,,
SRR28910775,PRJNA732392,SAMN41165239,haib17CEM5241_HMGMHCCXY_SL343394,,metasub,,Singapore,Asia,,,,,1.384198 N 103.744375 E,,6/21/17,built environment,subway,surface,,,
SRR28911278,PRJNA732392,SAMN41164603,haib17CEM5241_HMGMHCCXY_SL343395,,metasub,,Singapore,Asia,,,,,1.384149 N 103.744225 E,,6/21/17,built environment,subway,surface,,,
SRR28911254,PRJNA732392,SAMN41164689,haib17CEM5241_HMGMHCCXY_SL343396,,metasub,,Singapore,Asia,,,,,1.384144 N 103.744214 E,,6/21/17,built environment,subway,surface,,,
SRR28910833,PRJNA732392,SAMN41165057,haib17CEM5241_HMGMHCCXY_SL343425,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28911308,PRJNA732392,SAMN41165254,haib17CEM5241_HMGMHCCXY_SL343426,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28911191,PRJNA732392,SAMN41164584,haib17CEM5241_HMGMHCCXY_SL343427,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28911451,PRJNA732392,SAMN41164736,haib17CEM5241_HMGMHCCXY_SL343428,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28911050,PRJNA732392,SAMN41165100,haib17CEM5241_HMGMHCCXY_SL343429,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28910959,PRJNA732392,SAMN41164619,haib17CEM5241_HMGMHCCXY_SL343430,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28910843,PRJNA732392,SAMN41165048,haib17CEM5241_HMGMHCCXY_SL343431,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911591,PRJNA732392,SAMN41164950,haib17CEM5241_HMGMHCCXY_SL343432,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28911519,PRJNA732392,SAMN41165209,haib17CEM5241_HMGMHCCXY_SL343433,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28911462,PRJNA732392,SAMN41164726,haib17CEM5241_HMGMHCCXY_SL343434,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28910782,PRJNA732392,SAMN41165233,haib17CEM5241_HMGMHCCXY_SL343435,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
SRR28911341,PRJNA732392,SAMN41165159,haib17CEM5241_HMGMHCCXY_SL343436,,metasub,,Poland,Europe,,,,,missing,,6/24/17,built environment,subway,surface,,,
